Key,Sample 1,Sample 2
Company Name,Spacex,NASA
Website Address,https://www.spacex.com/,https://www.nasa.gov
Linkedin ,https://www.linkedin.com/company/spacex/,https://www.linkedin.com/company/nasa
X (Twitter),https://twitter.com/spacex,https://twitter.com/NASA
Instagram,https://www.instagram.com/spacex/,https://www.instagram.com/nasa
Youtube,https://www.youtube.com/user/spacexchannel,https://www.youtube.com/user/NASAtelevision
Mission Statement,"SpaceX aims to revolutionize space technology, with the ultimate goal of enabling people to live on other planets. Their mission is encapsulated by the drive to make life multi-planetary and to establish a sustainable human presence on Mars. SpaceX designs, manufactures, and launches the world's most advanced rockets and spacecraft, with the aim to advance the boundaries of what is possible and inspire the future.","NASA's mission is to pioneer the future in space exploration, scientific discovery, and aeronautics research."
Founded Date,2002,1958
Company Size ,10000-15000,17000-20000
Headquarter Location ,Washington ,Washington
