Key,Sample 1,Sample 2,Sample 3
Company Name,Spacex,NASA,Relativity Space
Website Address,https://www.spacex.com/,https://www.nasa.gov,https://www.relativityspace.com/
Linkedin ,https://www.linkedin.com/company/spacex/,https://www.linkedin.com/company/nasa,https://www.linkedin.com/company/relativity
X (Twitter),https://twitter.com/spacex,https://twitter.com/NASA,Not found
Instagram,https://www.instagram.com/spacex/,https://www.instagram.com/nasa,Not found
Youtube,https://www.youtube.com/user/spacexchannel,https://www.youtube.com/user/NASAtelevision,https://www.youtube.com/relativityspace
Mission Statement,"SpaceX aims to revolutionize space technology, with the ultimate goal of enabling people to live on other planets. Their mission is encapsulated by the drive to make life multi-planetary and to establish a sustainable human presence on Mars. SpaceX designs, manufactures, and launches the world's most advanced rockets and spacecraft, with the aim to advance the boundaries of what is possible and inspire the future.","NASA's mission is to pioneer the future in space exploration, scientific discovery, and aeronautics research.","Launching the future of humanity in space. A rocket company at the core, Relativity Space is on a mission to become the next great commercial launch company."
Engineering, Electrical Engineering",Not found
Founded Date,2002,1958,Not found
Company Size ,10000-15000,17000-20000,Not found
Headquarter Location ,Washington ,Washington,Not found
